 size,  time, cycle, instr, L1_miss, LLC_miss, br_miss,  task,          scale,   IPC,   CPU,   GHz 
2070000, 8.852, 39.752, 5.011,   0.987,    0.528,   0.000, 8.852, 1000000000.000, 0.126, 1.000, 4.491 
2090000, 8.888, 39.914, 5.011,   0.987,    0.533,   0.000, 8.888, 1000000000.000, 0.126, 1.000, 4.491 
2080000, 8.889, 39.921, 5.011,   0.987,    0.532,   0.000, 8.889, 1000000000.000, 0.126, 1.000, 4.491 
2100000, 8.890, 39.927, 5.011,   0.987,    0.533,   0.000, 8.890, 1000000000.000, 0.126, 1.000, 4.491 
2130000, 8.944, 40.169, 5.011,   0.987,    0.539,   0.000, 8.943, 1000000000.000, 0.125, 1.000, 4.491 
2110000, 8.950, 40.192, 5.011,   0.987,    0.539,   0.000, 8.950, 1000000000.000, 0.125, 1.000, 4.491 
2140000, 8.977, 40.319, 5.011,   0.987,    0.543,   0.000, 8.977, 1000000000.000, 0.124, 1.000, 4.491 
2120000, 8.989, 40.367, 5.011,   0.987,    0.543,   0.000, 8.989, 1000000000.000, 0.124, 1.000, 4.491 
2160000, 9.054, 40.662, 5.011,   0.987,    0.550,   0.000, 9.054, 1000000000.000, 0.123, 1.000, 4.491 
2150000, 9.060, 40.686, 5.011,   0.987,    0.551,   0.000, 9.059, 1000000000.000, 0.123, 1.000, 4.491 
2180000, 9.036, 40.578, 5.011,   0.987,    0.549,   0.000, 9.036, 1000000000.000, 0.123, 1.000, 4.491 
2170000, 9.071, 40.742, 5.012,   0.987,    0.554,   0.000, 9.071, 1000000000.000, 0.123, 1.000, 4.492 
2190000, 9.088, 40.810, 5.023,   0.988,    0.555,   0.000, 9.087, 1000000000.000, 0.123, 1.000, 4.491 
2200000, 9.108, 40.908, 5.011,   0.988,    0.558,   0.000, 9.108, 1000000000.000, 0.123, 1.000, 4.491 
2210000, 9.145, 41.074, 5.011,   0.988,    0.562,   0.000, 9.145, 1000000000.000, 0.122, 1.000, 4.492 
2220000, 9.171, 41.190, 5.012,   0.988,    0.564,   0.000, 9.171, 1000000000.000, 0.122, 1.000, 4.492 
2230000, 9.222, 41.412, 5.011,   0.988,    0.568,   0.000, 9.221, 1000000000.000, 0.121, 1.000, 4.491 
2240000, 9.191, 41.281, 5.011,   0.988,    0.567,   0.000, 9.191, 1000000000.000, 0.121, 1.000, 4.492 
2260000, 9.212, 41.370, 5.012,   0.988,    0.569,   0.000, 9.212, 1000000000.000, 0.121, 1.000, 4.491 
2270000, 9.201, 41.326, 5.012,   0.988,    0.568,   0.000, 9.201, 1000000000.000, 0.121, 1.000, 4.492 
2250000, 9.275, 41.657, 5.011,   0.988,    0.577,   0.000, 9.275, 1000000000.000, 0.120, 1.000, 4.492 
2280000, 9.259, 41.582, 5.011,   0.988,    0.573,   0.000, 9.259, 1000000000.000, 0.121, 1.000, 4.491 
2290000, 9.279, 41.674, 5.012,   0.988,    0.577,   0.000, 9.279, 1000000000.000, 0.120, 1.000, 4.491 
2300000, 9.373, 42.086, 5.011,   0.989,    0.587,   0.000, 9.373, 1000000000.000, 0.119, 1.000, 4.490 
2320000, 9.315, 41.811, 5.013,   0.988,    0.580,   0.000, 9.310, 1000000000.000, 0.120, 1.000, 4.491 
